[26 Oct 2020 17:03:15,814] | INFO  | main  | com.letskodeit.base.WebDriverFactory.setDriver(WebDriverFactory.java:81)     | 81    | setDriver            | base.WebDriverFactory     | -OS Name from system property :: win
[26 Oct 2020 17:03:15,834] | INFO  | main  | com.letskodeit.base.WebDriverFactory.setDriver(WebDriverFactory.java:100)    | 100   | setDriver            | base.WebDriverFactory     | -Driver Binary :: C:\Selenium\Industry_Standart_Framework//drivers//chromedriver.exe
[26 Oct 2020 17:12:56,321] | INFO  | main  | com.letskodeit.base.WebDriverFactory.setDriver(WebDriverFactory.java:81)     | 81    | setDriver            | base.WebDriverFactory     | -OS Name from system property :: win
[26 Oct 2020 17:12:56,336] | INFO  | main  | com.letskodeit.base.WebDriverFactory.setDriver(WebDriverFactory.java:100)    | 100   | setDriver            | base.WebDriverFactory     | -Driver Binary :: C:\Selenium\Industry_Standart_Framework//drivers//chromedriver.exe
[26 Oct 2020 17:13:44,614] | INFO  | main  | com.letskodeit.base.CustomDriver.elementClick(CustomDriver.java:192)         | 192   | elementClick         | base.CustomDriver         | -Clicked On :: Login Link
[26 Oct 2020 17:13:44,634] | INFO  | main  | com.letskodeit.base.CheckPoint.clearHashMap(CheckPoint.java:20)              | 20    | clearHashMap         | base.CheckPoint           | -Clearing Results Hash Map
[26 Oct 2020 17:13:55,164] | INFO  | main  | com.letskodeit.base.CustomDriver.sendData(CustomDriver.java:305)             | 305   | sendData             | base.CustomDriver         | -Send Keys on element :: Email Field with data :: test@email.com
[26 Oct 2020 17:13:55,356] | INFO  | main  | com.letskodeit.base.CustomDriver.sendData(CustomDriver.java:305)             | 305   | sendData             | base.CustomDriver         | -Send Keys on element :: Password Field with data :: abcabc
[26 Oct 2020 17:14:00,370] | INFO  | main  | com.letskodeit.base.CustomDriver.elementClick(CustomDriver.java:192)         | 192   | elementClick         | base.CustomDriver         | -Clicked On :: Login Button
[26 Oct 2020 17:14:00,419] | ERROR | main  | com.letskodeit.utilities.Util.verifyTextContains(Util.java:146)              | 146   | verifyTextContains   | utilities.Util            | -Actual Text From Web Application UI   --> : All Courses
[26 Oct 2020 17:14:00,420] | ERROR | main  | com.letskodeit.utilities.Util.verifyTextContains(Util.java:147)              | 147   | verifyTextContains   | utilities.Util            | -Expected Text From Web Application UI --> : All Coursesesss
[26 Oct 2020 17:14:00,420] | ERROR | main  | com.letskodeit.utilities.Util.verifyTextContains(Util.java:148)              | 148   | verifyTextContains   | utilities.Util            | -### Verification DOES NOT Contains !!!
[26 Oct 2020 17:14:00,420] | INFO  | main  | com.letskodeit.base.CheckPoint.setStatus(CheckPoint.java:31)                 | 31    | setStatus            | base.CheckPoint           | -test-01.header verification :-> FAIL
[26 Oct 2020 17:14:00,451] | INFO  | main  | com.letskodeit.base.CustomDriver.getElementList(CustomDriver.java:152)       | 152   | getElementList       | base.CustomDriver         | -Element List found with: class=>gravatar
[26 Oct 2020 17:14:00,452] | INFO  | main  | com.letskodeit.utilities.Util.verifyListNotEmpty(Util.java:183)              | 183   | verifyListNotEmpty   | utilities.Util            | -List is not empty
[26 Oct 2020 17:14:00,452] | INFO  | main  | com.letskodeit.base.CheckPoint.setStatus(CheckPoint.java:31)                 | 31    | setStatus            | base.CheckPoint           | -test-01.login verification :-> PASS
[26 Oct 2020 17:14:00,452] | INFO  | main  | com.letskodeit.base.CheckPoint.markFinal(CheckPoint.java:89)                 | 89    | markFinal            | base.CheckPoint           | -Test Method Failed
[26 Oct 2020 17:14:00,591] | INFO  | main  | com.letskodeit.base.CustomDriver.getElementList(CustomDriver.java:152)       | 152   | getElementList       | base.CustomDriver         | -Element List found with: class=>gravatar
[26 Oct 2020 17:14:00,592] | INFO  | main  | com.letskodeit.utilities.Util.verifyListNotEmpty(Util.java:183)              | 183   | verifyListNotEmpty   | utilities.Util            | -List is not empty
[26 Oct 2020 17:14:00,738] | INFO  | main  | com.letskodeit.base.CustomDriver.elementClick(CustomDriver.java:192)         | 192   | elementClick         | base.CustomDriver         | -Clicked On :: User Account Icon
[26 Oct 2020 17:14:00,764] | INFO  | main  | com.letskodeit.base.CustomDriver.waitForElement(CustomDriver.java:559)       | 559   | waitForElement       | base.CustomDriver         | -Waiting for max:: 10 seconds for element to be available
[26 Oct 2020 17:14:00,903] | INFO  | main  | com.letskodeit.base.CustomDriver.waitForElement(CustomDriver.java:563)       | 563   | waitForElement       | base.CustomDriver         | -Element appeared on the web page
[26 Oct 2020 17:14:04,266] | INFO  | main  | com.letskodeit.base.CustomDriver.javascriptClick(CustomDriver.java:245)      | 245   | javascriptClick      | base.CustomDriver         | -Clicked on :: Logout Link
[26 Oct 2020 17:14:04,455] | INFO  | main  | com.letskodeit.base.CustomDriver.elementClick(CustomDriver.java:192)         | 192   | elementClick         | base.CustomDriver         | -Clicked On :: Login Link
